code|name|vocabulary
A01AA01|sodium fluoride; oral|ATC
A01AA02|sodium monofluorophosphate|ATC
A01AA03|olaflur; oral|ATC
A01AA04|stannous fluoride|ATC
A01AA30|caries prophylactic agents - combinations|ATC
A01AA51|sodium fluoride, combinations|ATC
A01AB02|hydrogen peroxide; local oral|ATC
A01AB03|chlorhexidine; local oral|ATC
A01AB04|amphotericin B; local oral|ATC
A01AB05|polynoxylin; local oral|ATC
A01AB06|domiphen; local oral|ATC
A01AB07|oxyquinoline; local oral|ATC
A01AB08|neomycin; local oral|ATC
A01AB09|miconazole; local oral|ATC
A01AB10|natamycin; local oral|ATC
A01AB11|antiinfectives and antiseptics for local oral treatment - various; local oral|ATC
A01AB12|hexetidine; local oral|ATC
A01AB13|tetracycline; local oral|ATC
A01AB14|benzoxonium chloride; local oral|ATC
A01AB15|tibezonium iodide; local oral|ATC
A01AB16|mepartricin; local oral|ATC
A01AB17|metronidazole; local oral|ATC
A01AB18|clotrimazole; local oral|ATC
A01AB19|sodium perborate; local oral|ATC
A01AB21|chlortetracycline; local oral|ATC
A01AB22|doxycycline; local oral|ATC
A01AB23|minocycline; local oral|ATC
A01AB24|octenidine; local oral|ATC
A01AB25|oxytetracycline; local oral|ATC
A01AB53|chlorhexidine and cetylpyridinium; local oral|ATC
A01AC01|triamcinolone; local oral|ATC
A01AC02|dexamethasone; local oral|ATC
A01AC03|hydrocortisone; local oral|ATC
A01AC04|prednisolone; local oral|ATC
A01AC54|prednisolone, combinations; local oral|ATC
A01AD01|epinephrine; local oral|ATC
A01AD02|benzydamine; local oral|ATC
A01AD05|acetylsalicylic acid; local oral|ATC
A01AD06|adrenalone; local oral|ATC
A01AD07|amlexanox; local oral|ATC
A01AD08|becaplermin; local oral|ATC
A01AD11|other agents for local oral treatment - various; local oral|ATC
A02AA01|magnesium carbonate|ATC
A02AA02|magnesium oxide|ATC
A02AA03|magnesium peroxide|ATC
A02AA04|magnesium hydroxide; oral|ATC
A02AA05|magnesium silicate|ATC
A02AA10|magnesium compounds - combinations|ATC
A02AB01|aluminium hydroxide|ATC
A02AB02|algeldrate; oral|ATC
A02AB03|aluminium phosphate|ATC
A02AB04|dihydroxialumini sodium carbonate; oral|ATC
A02AB05|aluminium acetoacetate|ATC
A02AB06|aloglutamol|ATC
A02AB07|aluminium glycinate|ATC
A02AB10|aluminium compounds - combinations|ATC
A02AC01|calcium carbonate|ATC
A02AC02|calcium silicate; oral|ATC
A02AC10|calcium compounds - combinations|ATC
A02AD01|ordinary salt combinations|ATC
A02AD02|magaldrate|ATC
A02AD03|almagate|ATC
A02AD04|hydrotalcite|ATC
A02AD05|almasilate|ATC
A02AF01|magaldrate and antiflatulents|ATC
A02AF02|ordinary salt combinations and antiflatulents|ATC
A02BA01|cimetidine; oral, parenteral|ATC
A02BA02|ranitidine; oral, parenteral|ATC
A02BA03|famotidine; oral, parenteral|ATC
A02BA04|nizatidine; oral, parenteral|ATC
A02BA05|niperotidine|ATC
A02BA06|roxatidine; oral|ATC
A02BA07|ranitidine bismuth citrate; oral|ATC
A02BA08|lafutidine; oral|ATC
A02BA51|cimetidine, combinations|ATC
A02BA53|famotidine, combinations|ATC
A02BB01|misoprostol; oral|ATC
A02BB02|enprostil; oral|ATC
A02BC01|omeprazole; oral, parenteral|ATC
A02BC02|pantoprazole; oral, parenteral|ATC
A02BC03|lansoprazole; oral|ATC
A02BC04|rabeprazole; oral|ATC
A02BC05|esomeprazole; oral, parenteral|ATC
A02BC06|dexlansoprazole; oral|ATC
A02BC07|dexrabeprazole|ATC
A02BC08|vonoprazan|ATC
A02BC09|tegoprazan|ATC
A02BC10|fexuprazan|ATC
A02BC11|ilaprazole|ATC
A02BC12|zastaprazan|ATC
A02BC51|omeprazole, combinations|ATC
A02BC53|lansoprazole, combinations|ATC
A02BC54|rabeprazole, combinations|ATC
A02BD01|omeprazole, amoxicillin and metronidazole|ATC
A02BD02|lansoprazole, tetracycline and metronidazole|ATC
A02BD03|lansoprazole, amoxicillin and metronidazole|ATC
A02BD04|pantoprazole, amoxicillin and clarithromycin|ATC
A02BD05|omeprazole, amoxicillin and clarithromycin|ATC
A02BD06|esomeprazole, amoxicillin and clarithromycin|ATC
A02BD07|lansoprazole, amoxicillin and clarithromycin|ATC
A02BD08|bismuth subcitrate, tetracycline and metronidazole|ATC
A02BD09|lansoprazole, clarithromycin and tinidazole|ATC
A02BD10|lansoprazole, amoxicillin and levofloxacin|ATC
A02BD11|pantoprazole, amoxicillin, clarithromycin and metronidazole|ATC
A02BD12|rabeprazole, amoxicillin and clarithromycin|ATC
A02BD13|rabeprazole, amoxicillin and metronidazole|ATC
A02BD14|vonoprazan, amoxicillin and clarithromycin|ATC
A02BD15|vonoprazan, amoxicillin and metronidazole|ATC
A02BD16|omeprazole, amoxicillin and rifabutin|ATC
A02BD17|vonoprazan and amoxicillin|ATC
A02BX01|carbenoxolone; oral|ATC
A02BX02|sucralfate; oral|ATC
A02BX03|pirenzepine; oral, parenteral|ATC
A02BX04|methiosulfonium chloride|ATC
A02BX05|bismuth subcitrate; oral|ATC
A02BX06|proglumide; oral|ATC
A02BX07|gefarnate|ATC
A02BX08|sulglicotide|ATC
A02BX09|acetoxolone|ATC
A02BX10|zolimidine|ATC
A02BX11|troxipide|ATC
A02BX12|bismuth subnitrate|ATC
A02BX13|alginic acid|ATC
A02BX14|rebamipide; oral|ATC
A02BX15|teprenone|ATC
A02BX16|irsogladine|ATC
A02BX51|carbenoxolone, combinations excl. psycholeptics|ATC
A02BX71|carbenoxolone, combinations with psycholeptics|ATC
A02BX77|gefarnate, combinations with psycholeptics|ATC
A03AA01|oxyphencyclimine; oral|ATC
A03AA03|camylofin; oral, rectal|ATC
A03AA04|mebeverine; oral|ATC
A03AA05|trimebutine; oral|ATC
A03AA06|rociverine|ATC
A03AA07|dicycloverine; oral, parenteral|ATC
A03AA08|dihexyverine|ATC
A03AA09|difemerine|ATC
A03AA30|piperidolate|ATC
A03AB01|benzilone; oral|ATC
A03AB02|glycopyrronium bromide; oral, parenteral, rectal|ATC
A03AB03|oxyphenonium; oral|ATC
A03AB04|penthienate; oral|ATC
A03AB05|propantheline; oral, parenteral|ATC
A03AB06|otilonium bromide|ATC
A03AB07|methantheline; oral|ATC
A03AB08|tridihexethyl; oral|ATC
A03AB09|isopropamide; oral|ATC
A03AB10|hexocyclium; oral|ATC
A03AB11|poldine; oral|ATC
A03AB12|mepenzolate; oral|ATC
A03AB13|bevonium; oral|ATC
A03AB14|pipenzolate; oral|ATC
A03AB15|diphemanil|ATC
A03AB16|(2-benzhydryloxyethyl)diethyl-methylammonium iodide; oral|ATC
A03AB17|tiemonium iodide|ATC
A03AB18|prifinium bromide|ATC
A03AB19|timepidium bromide|ATC
A03AB21|fenpiverinium|ATC
A03AB53|oxyphenonium, combinations|ATC
A03AC02|dimethylaminopropionylphenothiazine|ATC
A03AC04|nicofetamide|ATC
A03AC05|tiropramide|ATC
A03AD01|papaverine; oral, parenteral|ATC
A03AD02|drotaverine; oral, parenteral|ATC
A03AD30|moxaverine; oral|ATC
A03AE01|alosetron; oral|ATC
A03AE02|[U] tegaserod|ATC
A03AE03|cilansetron|ATC
A03AE04|[U] prucalopride|ATC
A03AX01|fenpiprane|ATC
A03AX02|diisopromine|ATC
A03AX03|chlorbenzoxamine; oral|ATC
A03AX04|pinaverium; oral|ATC
A03AX05|fenoverine|ATC
A03AX06|idanpramine|ATC
A03AX07|proxazole|ATC
A03AX08|alverine|ATC
A03AX09|trepibutone|ATC
A03AX10|isometheptene|ATC
